Code OCM;1_EM;AUT;CDT;EC;ECE;ING;LOG;MSR;MTE;PPSI;QSPR;S3P;SIR;MRH;MCG;MCOM
MP107;2;;;;;;;;;;;;;;;
MP111;1;;;;;;;;;;;;;;;
MP112;9;1;1;;;;;1;1;;;;;;;
MP201;1;1;2;1;1;;1;1;1;;;2;;;;
MP202;1;;;;;;;;;;;;;;;
MP203;1;;2;;;;;;;;;;;;;
MP204;;;1;;;;;;;;;1;;;;
MP205;;;1;;1;1;;;;;;;;;;
MP206;1;;1;;2;;;;;;;;;;;
MP207;;2;1;2;1;;1;2;2;;2;;;;;
MP208;1;;1;;;;;;;;;;;;;
MP209;1;;1;;;;;;;;;;;;;
MP210;1;;1;;;;;;;;;;;;;
MP211;;;;;;2;2;;;;;;;;;
MP212;;;;;;1;4;;2;;;;;;;
MP213;4;1;1;1;1;;1;1;1;;1;;;;;
MP216;3;;;;;;;;;;;2;;;;
MP217;2;;;;;;2;2;2;;;;;;;
MP218;3;;;;;;;;;;;4;;;;
MP219;1;2;2;2;2;;1;2;2;;1;2;;;;
MP220;;2;;2;2;;1;2;2;;1;2;;;;
MP221;2;2;4;2;2;;1;2;2;;1;2;;;;
MP224;4;1;2;1;;;1;1;1;;;1;;;;
MP225;1;1;1;1;1;;1;1;1;;1;;;;;
MP226;;;;;;1;4;;2;;;;;;;
MP227;;;;;;1;2;;;;;;;;;
MP228;;;;;;;;1;;;;2;;;;
MP229;;;;;;;;1;;;;1;;;;
MP301;8;;;;;;;;;;;;;;;
MP302;;2;2;2;2;;2;2;2;;2;;;;;
MP303;;;2;;;;;;;;2;;;;;
MP305;;;;2;;;2;2;2;;;;;;;
MP306;;;;;;;;;;2;;;;;;
MP310;;;2;;;;;;;;;;;;;
MP312;;3;3;;3;;;2;2;;2;;;;;
MP313;1;;6;;;;;;;;;;;;;
MP314;1;1;6;1;1;;;1;1;1;1;;;;;
MP315;;;5;;;;;;;;;;;;;
MP316;;;5;;;;;;;;;;;;;
MP317;1;;;;;;;;;;2;2;;;;
MP318;3;;;4;;;6;4;4;;;;;;;
MP320;2;2;2;;2;;;;;;;;;;;
MP321;2;;;;;;;;;;;;;;;
MP322;1;1;1;;1;1;1;1;1;1;1;1;;;;1
MP345;;;;;;;;;;2;;;;;;
MP349;;2;2;2;2;;2;2;2;;2;;;;;
MP355;;;5;;;;;;;;;;;;;
MP357;;;;;;;;;;;2;;;;;
MP360;;4;15;;4;;;1;1;;;;;;;
MP362;1;;2;;;;;;;;;;;;;
MP363;2;;;;;;;;;;;;;;;
MP364;;2;;2;;;;2;2;;;;;;;
MP402;1;;1;;;;1;;;;;;;;;
MP403;1;;;;;;;;;;;;;;;
MP404;;;;;;;;;;;1;;;;;
MP406;1;;;;;;1;;;;;;;;;
MP408;1;;;;;;;;;;1;;;;;
 MP411;;;;;;;;;;;1;;;;;
MP412;1;;;1;;;;1;1;;1;;;;;
MP414;1;1;1;;1;;1;1;;;1;;;;;
MP415;;;1;;;;;;1;;;;;;;
MP423;1;;;1;;;2;1;1;;1;;;;;
MP427;2;;;1;;;2;1;1;;1;;;;;
MP429;;1;;;1;;1;2;1;1;1;;;;;
MP430;;;;;;;;;;;1;;;;;
MP502;2;;;;;;2;;;;;;;;;
"MP505
";5;;;;3;3;;;;;;;;;;
MP517;2;;1;1;1;2;1;1;1;1;1;;;;;
MP519;2;;;;;;1;;1;1;;;;;;
MP624;5;;;;;1;;2;2;;;;;;;
MP630;6;1;;;;6;;2;2;;;;;;;
MP632;5;2;;;2;6;;2;2;;;;;;;
MP745;;;;;;;;;;;;;;1;;
MP754;1;;;;;;;;;;;;;2;;
MP755;;1;1;1;1;1;1;1;1;1;1;1;1;1;;
MP756;;1;1;;1;;1;1;1;;;;;1;;
MP757;;;;;;;;;;;;;;1;;
MP801;3;1;;1;1;;0;1;1;1;1;;;;;
MP802;2;1;;1;1;;4;1;1;1;1;;;;;
MP811;1;;;;;;;;;;;;;;;
MP813;;;;;;;;;;;;;;;2;
MP817;;;;;;;;;;3;;;;;1;
MP820;1;1;;1;1;0;1;1;1;1;1;1;;;;
MP823;1;;;;;;;;;;;;;;;
MP827;;;;;;;;;;;;;;;1;
